book_id	book_title	number	headword	native_definition_en	japanese_meaning	etymology	example_B_en	example_B_ja	example_C_en	example_C_ja	example_D_en	example_D_ja
dist1	Distinction I	101	gold standard		ゴールドスタンダード		Ferrari's are the gold standard for many car collectors.	フェラーリは多くの自動車コレクターにとってゴールドスタンダードです。	Aalaga and Zona is the gold standard of German luxury watch brands.	Aalaga と Zona はドイツの高級時計ブランドのゴールドスタンダードです。	Pinnacle.	頂点。
dist1	Distinction I	102	kick sth off		キックオフ		I'll kick the meeting off early tomorrow morning, so try not to be late.	明日の朝早く会議を開始するので、遅刻しないように注意してください。	Let's kick off the presentation tomorrow with a speech from the CEO.	明日は CEO のスピーチでプレゼンテーションを始めましょう。	commit something.	何かをコミットする。
dist1	Distinction I	103	on one/s last legs		死にかかって		Your business is on its last legs.	あなたのビジネスは最後の段階にあります。	That boat is on its last legs. You should consider replacing it soon.	そのボートは最後の脚を立てています。すぐに交換を検討する必要があります。	Near the end of life or usefulness.	寿命または有用性の終わりに近づいています。
dist1	Distinction I	104	pluck sth out of thin air		何もないところから何かを引き出す		I can't trust anything Will says, this is just pluck things out of thin air.	ウィルの言うことは何も信用できない、これはただ何もないところから物事をつまみ出しただけだ。	You can't just pluck something out of thin air in the middle of a presentation.	プレゼンテーションの途中で何もないところから何かを引き出すことはできません。	Make something up	何かをでっち上げて
dist1	Distinction I	105	make a move		行動を起こす		It's getting pretty late so I might make a move.	かなり遅くなってきたので、行動するかもしれません。	I've got somewhere else to be, so I'm gonna make a move.	他に行きたい場所があるので、移動します。	Leave.	離れる。
dist1	Distinction I	106	selling point		セールスポイント		My selling point as an employee is my experience as a strategy consultant.	社員としての私のセールスポイントは、戦略コンサルタントとしての経験です。	Customer Services is the biggest tell-in-point for the cafe.	カスタマー サービスは、カフェにとって最大の窓口です。	Strength.	強さ。
dist1	Distinction I	107	all-in on sth		オールインオン		Matt is all laying on that horse.	マットはその馬の上に横たわっています。	I'm all in on this new project.	私はこの新しいプロジェクトに全力で取り組んでいます。	fully committed to something.	何かに全力で取り組むこと。
dist1	Distinction I	108	light at the end of the tunnel		トンネルの終わりの光		No matter what you're going through, there's always light at the end of the tunnel. So just keep working towards it.	何を経験していても、トンネルの終わりには必ず光があります。だから、それに向かって努力し続けてください。	The project is finally seeing the light at the end of the tunnel.	プロジェクトはついにトンネルの終わりに光が見えてきました。	and end of a difficult situation or task.	そして困難な状況や仕事が終わること。
dist1	Distinction I	109	party animal		パーティー動物		I'm tired of being judged for being a party animal.	パーティー好きだと判断されるのにはうんざりだ。	Tell him I wasn't much of a party animal. He prefers staying at home in a reading.	私がパーティー好きではなかったと彼に伝えてください。彼は家で本を読むことを好みます。	Person who loves parties	パーティーが好きな人
dist1	Distinction I	110	could hear a pin drop		ピンが落ちる音が聞こえた		The library was so quiet you could hear a pin drop.	図書館はピンが落ちる音が聞こえるほど静かだった。	You could hear a pin drop during that meeting.	その会議中にピンが落ちる音が聞こえました。	Could hear even the smallest noise because of the quiet.	静かなので小さな音も聞こえます。
dist1	Distinction I	111	wordy		くどい		The Lord of the Rings can be pretty wordy sometimes.	『ロード・オブ・ザ・リング』は時々かなり冗長になることがあります。	The email is a bit wordy, so I'm struggling to understand the point that he's trying to make.	メールは少し冗長なので、彼が何を言おうとしているのか理解するのに苦労しています。	Overly long.	長すぎます。
dist1	Distinction I	112	surefire		確かな		I have a sure fireway to make a small room look larger.	小さな部屋を広く見せる確実な暖炉があります。	He will be a surefire winner at the election.	彼は選挙で確実に勝者となるだろう。	Certain	ある
dist1	Distinction I	113	up in the air		漠然として		Chords as a rival time is up in the air at the moment.	ライバルタイムとしてのコードは現時点で宙に浮いている。	The company's growth plan is still up in the air.	同社の成長計画はまだ宙に浮いている。	uncertain	不確かな
dist1	Distinction I	114	worth a shot		試してみる価値あり		I don't know if it will succeed, but it's worth a shot.	成功するかどうかはわかりませんが、試してみる価値はあります。	The project failed, but it was definitely worth a shot.	プロジェクトは失敗しましたが、やってみる価値は間違いなくありました。	with a try.	試してみてください。
dist1	Distinction I	115	character		キャラクター		John is a bit of a character, isn't he?	ジョンはちょっと個性的な人ですね。	She is a character.	彼女はキャラクターです。	Interesting, unusual or amusing person.	興味深い、珍しい、または面白い人。
dist1	Distinction I	116	sharp		シャープ		I like the consultant as he's really sharp.	コンサルタントは本当に鋭いので好きです。	He learns things really quickly. He's very sharp.	彼は物事を本当に早く学びます。彼はとても鋭いです。	Clover.	クローバー。
dist1	Distinction I	117	burning desire		燃えるような欲望		Andy had a burn and desire to quit his job.	アンディはやけどを負い、仕事を辞めたいと思っていました。	I have a burning desire to score the maximum amount of goals possible.	できるだけ多くのゴールを決めたいという熱い思いがあります。	Strong urge	強い衝動
dist1	Distinction I	118	fly on the wall		壁の上を飛ぶ		I would have loved to be a fly on the wall for the argument between Anthony and Carly.	私はアンソニーとカーリーの間の口論で壁にかかるハエになりたかったです。	I wish her were a fly on the wall when they broke up.	彼らが別れたとき、彼女が壁にいたハエだったらよかったのに。	Observer of a private conversation or interaction.	プライベートな会話ややり取りを観察する人。
dist1	Distinction I	119	gibberish		ちんぷんかんぷん		I didn't understand Simon because he was speaking gibberish.	サイモンは意味不明なことを話していたので理解できませんでした。	It says TV shows on radio are lazy. It's gibberish.	ラジオのテレビ番組は怠惰だと言う。それは意味不明です。	nonsense	ナンセンス
dist1	Distinction I	120	egg sb on		エッグSBオン		Stop egging me under this stupid thing when I'm drunk because you know I'm gonna do it	私が酔っているときにこんな愚かなことで私を煽るのはやめてください、私がやるのはわかっているでしょうから	My brother is egging me on to jump off the roof.	兄は私に屋上から飛び降りるようそそのかしています。	Encourage somebody to do something inappropriate.	誰かに不適切なことをするよう奨励する。
dist1	Distinction I	121	face-time		フェイスタイム		I'm so excited to get some face time with my fans in Tokyo.	東京でファンと顔を合わせることをとても楽しみにしています。	Getting FaceTime with the higher apps is a great chance to prove how valuable you are to your company.	上位のアプリで FaceTime を取得することは、会社にとって自分がどれほど価値があるかを証明する絶好の機会です。	Time to talk in person.	直接話す時間です。
dist1	Distinction I	122	pull an all-nighter		徹夜する		Adam pulled an old lighter last night to finish his homework.	アダムは昨夜、宿題を終わらせるために古いライターを引っ張り出しました。	I've already had three cups of coffee this morning as I pulled an alnider.	今朝、アルナイダーを抜いたのですでにコーヒーを3杯飲んでいます。	Stay up all night.	一晩中起きていてください。
dist1	Distinction I	123	leave it there		そこに置いておいて		I've been talking for two hours, so I'll just leave it there.	2時間も話してきたのでこのくらいにしておきます。	I'll leave it there for now as Linda has a few words she wants to say.	リンダには言いたいことがいくつかあるので、今はこのままにしておきます。	Finish speaking now.	もう話し終えてください。
dist1	Distinction I	124	down-to-earth		分別のある		The singer surprisingly down to earth for somebody that is rich in famous.	この歌手は、裕福な有名人にしては驚くほど現実的だ。	She's the most down to earth person I've ever met.	彼女は私が今まで会った中で最も現実的な人です。	Realistic and relatable	現実的で共感できる
dist1	Distinction I	125	jump the gun		銃を飛び越える		Did you already talk about marriage? You guys have only just met. You're clearly jumping the gun.	もう結婚の話はしましたか？あなたたちはまだ会ったばかりです。あなたは明らかに銃を飛び越えています。	Is that a good company to work for? I haven't even done the interview yet, so this might be a gentleman they got a bit.	その会社は働きやすい会社ですか？まだインタビューもしていないので、ちょっと紳士的な印象を受けたかもしれません。	Do something too soon.	何かをするのが早すぎます。
dist1	Distinction I	126	back sth up		バックアップしてください		Can you back up your claim that she doesn't like me?	彼女は私のことを好きではないというあなたの主張を裏付けてもらえますか？	He says he knows a lot of people that would be willing to donate to my fundraiser, but he can't back that up.	私の募金活動に喜んで寄付してくれる人をたくさん知っているが、それを裏付けることはできないと彼は言う。	Support something with evidence or facts.	証拠や事実で何かを裏付ける。
dist1	Distinction I	127	get a kick out of sth		sthからキックを得る		I can't believe I'm saying this, but I get a real kick out of studying.	自分でこんなことを言うのが信じられませんが、勉強すると本当に元気が出ます。	I don't know why, but I get a weird kick out of chopping onions.	理由は分かりませんが、玉ねぎを切ると変な興奮を覚えます。	Get excitement or joy from something.	何かから興奮や喜びを得る。
dist1	Distinction I	128	hands down		黙って		That hamburger was hand-stound the best meal I've ever had in my life.	そのハンバーガーは私が今まで食べた中で最高の食事でした。	He is the best character on the show, handstand.	彼はショーで最高のキャラクター、逆立ちです。	Definitely.	絶対に。
dist1	Distinction I	129	dumb sth down		バカだ、ダウン		What do you mean? Can you dump your explanation down for me?	どういう意味ですか？あなたの説明を書き留めてもらえますか？	International relations are hard to dunk down enough for the average person.	国際関係は、一般の人にとって十分に理解するのは難しいです。	simplify something	何かを単純化する
dist1	Distinction I	130	on the fly		その場で		Max is going to give his wedding speech on the fly.	マックスはその場で結婚式のスピーチをするつもりです。	Let's make decisions on the fly.	その場で意思決定をしましょう。	Without planning an advance.	事前の計画を立てずに。
dist1	Distinction I	131	fishy		胡散臭い		I feel that there's something fishy going on.	何か怪しいことが起こっているような気がします。	I've spotted something fishy here.	ここで怪しいものを見つけました。	suspicious	疑わしい
dist1	Distinction I	132	give or take		与えるか受け取るか		It'll cost $500, give or take.	多少なりとも 500 ドルかかります。	All arrive at 9pm. Give her take-prop minutes.	All arrive at 9pm.彼女にテイクプロップの時間を与えてください。	Approximately.	約。
dist1	Distinction I	133	educated guess		知識に基づいた推測		Take an educated guess as to how many people are coming to the party.	パーティーに何人来るかについて知識に基づいた推測をしてください。	What will the world look like 50 years from now? Can we make an educated guess or is it crystal ball required?	What will the world look like 50 years from now?経験に基づいた推測をすることはできるでしょうか、それとも水晶玉が必要なのでしょうか?	Inform the estimate.	お見積りをお知らせします。
dist1	Distinction I	134	hit a wall		壁にぶつかる		When your motivation is steady hit to wall, remember your end goal.	モチベーションが常に壁にぶつかっているときは、最終目標を思い出してください。	I feel my career has hit a wall. I don't know what I want to do now.	私のキャリアは壁にぶつかっていると感じています。今何をしたいのか分かりません。	stagnate	停滞する
dist1	Distinction I	135	on sb/s radar		SB/Sレーダーで		Well, I won't get it done today, cleaning the kitchen is on my radar.	そうですね、キッチンの掃除が気になっているので、今日は終わらせません。	Having a child is not on my radar yet.	子供がいるということはまだ私の頭にはありません。	In somebody's plans.	誰かの計画の中で。
dist1	Distinction I	136	broken record		壊れた記録		Brennan's really a broken record, and she tells the same stories every time I see him.	ブレナンは本当に壊れた記録で、私が彼に会うたびに彼女は同じ話をします。	Jim thinks that his dad is a broken record, as he nags him about the same things every day.	ジムは、父親が毎日同じことについて小言を言うので、父親が壊れていると思っています。	Repetitive Person.	繰り返しの人。
dist1	Distinction I	137	stoked		興奮した		My supervisors said my performance was awesome today and I'm low-key stoked about it	今日の私のパフォーマンスは素晴らしかったと上司が言っていて、私はそれについて控えめに喜んでいます	I'm really stoked for the trip next month.	来月の旅行に向けてとても楽しみです。	Very happy, very excited.	とても幸せで、とても興奮しています。
dist1	Distinction I	138	sooner rather than later		遅かれ早かれ		You should take action sooner rather than later.	遅かれ早かれ行動を起こす必要があります。	If you're planning to apologize, do it sooner rather than later.	謝るつもりなら、早めに済ませましょう。	Sin.	罪。
dist1	Distinction I	139	get one/s story straight		話を正確に理解する		Let's get our story straight prior to speaking to the police.	警察に相談する前に話を整理しましょう。	Brian needs to get a story straight before he can tell Jen what happened yesterday.	ブライアンは昨日何が起こったかをジェンに話す前に、話を正確に理解する必要があります。	Ensure one's narrative makes sense.	自分の話が理にかなっていることを確認します。
dist1	Distinction I	140	reinvent the wheel		車輪を再発明する		Let's use the materials that we already have, rather than reinvent the wheel.	車輪を再発明するのではなく、すでにある材料を使用しましょう。	We don't have to reinvent the wheel to get this project finished. Let's just make some tweaks to the plane we already have.	このプロジェクトを完了するために車輪を再発明する必要はありません。すでに持っている飛行機にいくつかの調整を加えてみましょう。	waste time on something that's already been done.	すでに終わったことに時間を無駄にする。
dist1	Distinction I	141	hear through the grapevine		ブドウの蔓の向こうから聞こえる		I heard through the grapevine that Ben's decided to change department.	ベンが部署を変えることを決めたということを人づてに聞きました。	I heard through the grapevine that she was pregnant.	彼女が妊娠していることを人づてに聞きました。	Here rumors.	ここで噂が。
dist1	Distinction I	142	fired up		気合が入った		Neville got a bit fired up when his team started losing.	チームが負け始めたとき、ネビルは少し興奮しました。	Bill got pretty fired up when Mel accused him of stealing money.	ビルはメルが金を盗んだと非難したとき、かなり興奮した。	Adjutated, angry.	調整され、怒っています。
dist1	Distinction I	143	crash course		クラッシュコース		I can give you a crash course if you'd like. It's actually pretty straightforward.	ご希望であれば短期集中コースをご案内します。それは実際には非常に簡単です。	Kudos to him for giving a crash course in the digital marketing.	デジタル マーケティングの短期集中講座を開催してくれた彼に敬意を表します。	concise explanation, intensive course.	簡潔な解説、集中講座。
dist1	Distinction I	144	settle in		定住する		It took Patricia a while to settle into her new school, as she didn't know anybody there.	パトリシアさんは新しい学校に知り合いがいなかったため、慣れるまでに時間がかかりました。	John settling in well, as he's made a lot of new friends already.	ジョンはすでにたくさんの新しい友達ができたので、順調に慣れています。	Acclamate.	賞賛する。
dist1	Distinction I	145	worked up		練った		It was worked up because his team conceded a goal in the last minute of the game.	彼のチームが試合終了間際に失点を喫したため、この試合は追い詰められた。	She was screaming and worked up when she hit the jackpot.	ジャックポットを当てたとき、彼女は叫び声を上げて興奮していました。	upset or very excited.	動揺したり、とても興奮したり。
dist1	Distinction I	146	control freak		コントロールフリーク		Sorry that I'm being a bit of a control freak, but I just want to make sure every part of this project is done right.	ちょっと制御が苦手で申し訳ありませんが、このプロジェクトのすべての部分が正しく行われていることを確認したいだけです。	My girlfriend is a control freak and asked me where I am like every 15 minutes.	私のガールフレンドはコントロールフリークで、15分ごとに私がどこにいるかを尋ねてきました。	Person who likes to be in control of a situation.	状況をコントロールするのが好きな人。
dist1	Distinction I	147	needle in a haystack		干し草の山の中の針		Finding bugs in sourcecodes like looking for a needle and a hay stack.	針や干し草の山を探すように、ソースコード内のバグを見つけます。	Finding the next pop stars like finding a needle in a haystack.	次のポップスターを見つけるのは、干し草の山から針を見つけるようなものです。	Something very hard to find.	見つけるのが非常に難しいもの。
dist1	Distinction I	148	put up with sth		我慢してください		I shouldn't have to put up with noisy children in the library.	図書館で子供たちが騒がしいのを我慢する必要はありません。	I can't put up with a bossy attitude any longer.	偉そうな態度にはもう我慢できません。	Toll or eat something.	通行したり、何かを食べたりしてください。
dist1	Distinction I	149	put sb on the spot		SBをその場に置く		Sorry for putting down the spot, but when can you finish the work?	先をずらして申し訳ありませんが、いつ仕事を終わらせていただけますか？	I have a real fear of being put on the spot when I'm talking to my boss.	上司と話しているときに、その場で怒られるのが本当に怖いです。	Ask somebody a question that is difficult or embarrassing to answer.	答えるのが難しい、または恥ずかしい質問を誰かに尋ねてください。
dist1	Distinction I	150	wasted		無駄にした		David was wasted after a few drinks last night.	デビッドは昨夜数杯飲んだ後、疲れ果てていました。	Liz gets wasted easily.	リズはすぐに消耗してしまう。	Trump	トランプ
dist1	Distinction I	151	ego-boosting		自我を高める		The feedback that I got from my boss was pretty eager boosting.	上司から得たフィードバックは非常に熱心でした。	Let's not tell Paul anything that's too eager boosting, as he's already a bit arrogant.	ポールはすでに少し傲慢になっているので、あまりにも熱心に宣伝するようなことは言わないようにしましょう。	Confidence increasing.	自信が高まります。
dist1	Distinction I	152	carry the team		チームを運ぶ		It's a bit insane to ask an 18-year-old rookie to carry the team.	18歳のルーキーにチームを背負ってもらうのはちょっと常軌を逸している。	He's going to carry the team this time.	今度は彼がチームを背負うことになる。	Be responsible for a team's productivity.	チームの生産性に対して責任を負います。
dist1	Distinction I	153	down in the dumps		ゴミ捨て場に落ちた		Chulia is a bit down in the dumps because her husband has been overseas for a couple of weeks now.	チュリアさんは夫が数週間海外に行っているため、少し落ち込んでいます。	Thomas been down in the dumps ever since you keep broke up with him.	あなたが彼と別れ続けて以来、トーマスはゴミ捨て場に落ち込んでいます。	Clume or depressed.	クラムか鬱状態。
dist1	Distinction I	154	big fan of sth		STHの大ファン		I'm a big fan of chocolate.	私はチョコレートの大ファンです。	Andy isn't a big fan of scary movies.	アンディは怖い映画の大ファンではありません。	person who really likes something	本当に何かが好きな人
dist1	Distinction I	155	backfire		バックファイア		Then, he softer that I installed on my computer really backpired, as my computer slowed down drastically.	その後、コンピュータの速度が大幅に低下したため、コンピュータにインストールしたソフトが本当にバックパイアしてしまいました。	The sleeping pills that I took last night back fired on me as I couldn't wake up in the morning.	昨日の夜飲んだ睡眠薬の影響で朝起きれなくなってしまいました。	Have the unintended opposite result.	意図しない逆の結果が生じます。
dist1	Distinction I	156	iffy		あやふやな		I'm still if you're about going to Australia this summer.	あなたがこの夏オーストラリアに行くつもりなら、私はまだそうします。	The fireworks were postponed due to the iffy weather.	天気が不安定だったので花火は延期された。	Uncertain, doubtful.	不確実、疑わしい。
dist1	Distinction I	157	go down well		よく降りる		My joke think you're down well.	冗談ですが、あなたは元気だと思います。	His latest video is very informative and it went down while with the fans.	彼の最新のビデオは非常に有益であり、ファンの間で話題になりました。	Get received positively.	積極的に受け取ってください。
dist1	Distinction I	158	step up		ステップアップ		Young players stepped up in the absence of several experienced stars.	経験豊富なスター選手が数人いない中、若い選手たちがステップアップした。	My can to step up because this manager was sick for the week.	このマネージャーが一週間体調が悪かったので、私はステップアップすることができました。	Take on additional responsibility.	さらなる責任を負います。
dist1	Distinction I	159	inch-perfect		インチパーフェクト		The player netted an inch perfect equalizer.	選手は1インチの完璧なイコライザーを決めた。	Don't worry about making it inch perfect, given that it's just a draft.	単なる下書きなので、完璧に仕上げることを心配する必要はありません。	Extremely accurate.	非常に正確です。
dist1	Distinction I	160	keep one/s head		頭を保ってください		Just keep your head in concentrate on what you're doing now.	頭を今やっていることだけに集中してください。	Tom kept his head even though everybody around him was panicking.	周りの人がパニックになっているにもかかわらず、トムは頭を下げなかった。	Remain calm	落ち着いてください
dist1	Distinction I	161	rule of thumb		経験則		As a general rule of thumb, I think companies should try to maintain a net profit margin ratio that is above the average for their industry.	一般的な経験則として、企業は業界の平均を上回る純利益率を維持するよう努めるべきだと思います。	As a rule of thumb, it is uncommon for Japanese people that eat or drink while walking.	経験則として、日本人が歩きながら食べたり飲んだりすることはまれです。	Brobley accurate rule	ブロブリーの正確なルール
dist1	Distinction I	162	crack (sb) up		クラック（sb）アップ		This video just cracked me up so bad.	このビデオを見てとてもショックを受けました。	I cracked up at his joke like crazy.	私は彼のジョークに狂ったように笑い出した。	Make somebody laugh a lot.	誰かをたくさん笑わせてください。
dist1	Distinction I	163	take it the wrong way		間違った方法で受け止める		Don't take it the wrong way, but you should probably get a haircut before the wedding.	誤解しないでください。結婚式の前に髪を切ったほうがいいでしょう。	Don't take it the wrong way, but you're not good enough.	誤解しないでください。でも、あなたは十分ではありません。	Miss Interpret.	通訳さん。
dist1	Distinction I	164	give some context		コンテキストを与える		To give you some context, I bought a pink car only because my girlfriend wanted it.	背景を説明すると、彼女が欲しがったという理由だけで、私はピンクの車を購入しました。	Can someone give me some context for this line stamp? I don't know when I can use this.	誰かこのラインスタンプの背景を教えてもらえませんか？これをいつ使えるか分かりません。	Give some background information.	背景情報をいくつか説明します。
dist1	Distinction I	165	drama queen		ドラマの女王		She's such a drama queen. Oh my god, she acts like she's gonna die every time she sees an ant.	まさにドラマ女王ですね。なんと、彼女はアリを見るたびに死にそうな態度をとります。	Don't be a drama queen. The cat isn't even deep.	ドラマの女王にならないでください。猫は深くもありません。	Person who overreacts to situations.	状況に過剰に反応する人。
dist1	Distinction I	166	go all-out		全力で行く		They will go all out to get exactly what they want.	彼らはまさに自分が望むものを手に入れるために全力を尽くします。	Is this event is very important for us? Let's go all loud on the catering.	このイベントは私たちにとって非常に重要ですか?ケータリングで大声でいきましょう。	Be excessive.	過剰になる。
dist1	Distinction I	167	cover all bases		すべての基地をカバーする		She covered all bases by booking a venue that also served vegetarian food.	彼女はベジタリアン料理も提供する会場を予約することで、すべての拠点をカバーしました。	My good to wine to cover all bases is 7-yone blank.	すべての拠点をカバーする私の得意のワインは7米のブランクです。	Prepare for every possible scenario.	考えられるあらゆるシナリオに備えてください。
dist1	Distinction I	168	by the book		本によって		He is very by the book, as he only ever performs tasks under instruction from his manager.	彼はマネージャーの指示に従ってのみタスクを実行するため、非常に規律を守っています。	Peter isn't very by the book. He often does things in his own style.	ピーターは本にあまり忠実ではありません。彼は自分のスタイルで物事を行うことがよくあります。	Rule abiding	ルール遵守
dist1	Distinction I	169	think it through		よく考えてみる		I need to think it through a bit first before I answer your question.	あなたの質問に答える前に、まず少し考えてみる必要があります。	Did you think it threw before signing the agreement?	契約書に署名する前に投げたと思いましたか？	Contentplay	コンテンツプレイ
dist1	Distinction I	170	heads up		注意喚起		When you're ready to start a meeting, give me a heads up.	会議を始める準備ができたら、お知らせください。	Just to give you heads up, we'll be closing at 6pm today.	誠に勝手ながら、本日は18時で閉店させていただきます。	preliminary notice	事前通知
dist1	Distinction I	171	call it (a day)		それを（一日）呼んでください		I'm Colin at 6 o'clock.	私は6時のコリンです。	Let's call it a day and go home.	今日はやめて家に帰りましょう。	Stop working for the rest of the day.	その日の残りの時間は仕事をやめてください。
dist1	Distinction I	172	in a roundabout way		回りくどい方法で		Did you tell me you loved me in a roundabout way?	遠回しに好きって言ったよね？	I told you I didn't truly love you in a roundabout way, but you just didn't get it.	遠回しに本気で愛してないって言ったのに、理解してもらえなかった。	indirectly.	間接的に。
dist1	Distinction I	173	under the weather		天気の下で		She didn't come to school today, and she's been filling under the weather for a few days.	彼女は今日学校に来ませんでした、そして、彼女は数日間天候の下で授業をしていました。	I'm a bit under the weather today, so I won't be coming to lunch.	今日はちょっと天気が悪いのでランチには行きません。	Sick.	病気。
dist1	Distinction I	174	drag one/s feet		足を引きずる		My kid's been dragging his feet with his homework.	私の子供は宿題に足を引きずっています。	The powers that be are dragging their feet on the issue.	権力者たちはこの問題に足を引っ張っている。	procrastinate.	先延ばしにする。
dist1	Distinction I	175	clear the air		空気をきれいにする		We should meet up to clear the air.	空気をきれいにするために会いましょう。	Tim and Mark need to clear the air before their argument gets worse.	ティムとマークは口論が悪化する前に空気を晴らさなければなりません。	Resolve a dispute.	紛争を解決します。
dist1	Distinction I	176	guesstimate		推測する		My guest in the minute is that the stock market could cascade further.	今回の私のゲストは、株式市場がさらに暴落する可能性があるということです。	My guest of it for total hours of study this week is probably around 40 hours.	今週の私のゲストの合計学習時間は、おそらく約 40 時間です。	Estimate made with little or no basis.	ほとんど、またはまったく根拠のない推定。
dist1	Distinction I	177	dig deep		深く掘る		Trent had a dig deep to lift the car up.	トレントは車を持ち上げるために深く掘らなければなりませんでした。	The team dug deep and worked some pretty long hours to get the work done.	チームは作業を完了するために徹底的に調査し、かなり長い時間働きました。	Put in a lot of effort.	たくさんの努力をしてください。
dist1	Distinction I	178	bells and whistles		追加機能		Rachel's new smart fridge has all the bells and whistles and she doesn't even cook.	レイチェルの新しいスマート冷蔵庫には必要な機能がすべて揃っていますが、彼女は料理すらしません。	I don't know why he bought a car with all the bells and whistles, but he only drives on weekends.	なぜ彼がたくさんの機能が付いている車を買ったのか分かりませんが、彼は週末にしか運転しません。	Additional and unnecessary features.	追加の不要な機能。
dist1	Distinction I	179	spot-on		スポットオン		That answers spot on.	それはその場で答えます。	The professor was spot on with his comments about the economy.	教授は経済についてのコメントが的を射ていた。	Correct.	正しい。
dist1	Distinction I	180	sb/s cup of tea		一杯のお茶		Basketball is not really my cup of tea. I prefer soccer.	バスケットボールは私にとってあまり好きではありません。私はサッカーの方が好きです。	Raman's novels aren't really my cup of tea.	ラマンの小説は私の好みではありません。	Something that somebody likes.	誰かが好きなもの。
dist1	Distinction I	181	look sharp		鋭く見える		Christmas looks sharp and as tailored suit.	クリスマスはテーラードスーツのようにシャープに見えます。	I always try and look sharp for job interviews.	私は就職面接では常にシャープな格好をするよう努めています。	Be well-presented.	上手に表現してください。
dist1	Distinction I	182	neck and neck		首と首		The two teams were neck and neck.	両チームは互角だった。	I'm Neckinek with Daniel in terms of performance at work.	仕事のパフォーマンスという点では、私はダニエルとネキネクです。	Close.	近い。
dist1	Distinction I	183	mind-numbing		気が遠くなるような		Mike found the conversation about particle physics to be mind-numbing.	マイクは、素粒子物理学についての会話は気が遠くなるようなものだと感じました。	I didn't do well in math, as I found it incredibly mind-numbing.	数学は信じられないほど気が遠くなるようなので、あまり得意ではありませんでした。	Extremely boring.	非常に退屈です。
dist1	Distinction I	184	tell it like it is		ありのままに伝える		Dating a woman who tells it like it is is a bit intimidating.	ありのままを言う女性と付き合うのは少し怖いです。	Let's just tell it like it is. There's no point in lying about it.	ありのままに伝えましょう。それについて嘘をつくのは意味がありません。	Be honest.	正直に言ってください。
dist1	Distinction I	185	game-changer		ゲームチェンジャー		I just found out that I can download a video on the website and watch it later. This is a game changer for me.	Web サイトでビデオをダウンロードして、後で視聴できることを知りました。これは私にとってゲームチェンジャーです。	Permanent hair removal is a total game changer.	永久脱毛は完全な変革をもたらします。	Revolutionary thing.	革命的なこと。
dist1	Distinction I	186	borrow sb		SBを借りる		Can I borrow Chris for a few minutes? I just need some help moving this heavy box.	クリスを数分貸してもいいですか？この重い箱を運ぶのに少し手伝ってもらいたいのですが。	Can I borrow you at some stage this afternoon? I've got a few things I wanted to ask you about.	今日の午後どこかの段階であなたを貸してもらえますか？いくつかお聞きしたいことがあります。	get a system from somebody.	誰かからシステムをもらう。
dist1	Distinction I	187	look up to sb		SBを尊敬する		You are someone I'd look up to.	あなたは私が尊敬する人です。	I really look up to Bill, so I try and learn as much as I can from him.	私はビルを本当に尊敬しているので、彼からできる限り多くのことを学ぼうとしています。	Respect somebody.	誰かを尊敬しましょう。
dist1	Distinction I	188	killing it		それを殺す		You're killing it out work recently.	最近仕事を無駄にしているね。	His new restaurant is killing it.	彼の新しいレストランは大ヒットだ。	Performing very well.	パフォーマンスは非常に良い。
dist1	Distinction I	189	make it up as one goes along		進みながら補う		As there is no plan in place, John is making it up as he goes along.	計画は決まっていないので、ジョンはやりながら計画を立てています。	I didn't know how to do the work, so I just made it up as I went along.	作業のやり方が分からなかったので、やりながら作ってみました。	Improvise	即興演奏
dist1	Distinction I	190	bounce ideas off sb		SBからアイデアを跳ね返す		We'll come up with a better solution to the problem if we get together and bounce ideas off each other.	集まってお互いにアイデアを出し合えば、問題に対するより良い解決策が見つかるでしょう。	Can I balance some ideas off you later? I'm trying to decide what the best option is.	後でいくつかアイデアのバランスを取ってもいいですか？何が最善の選択肢なのかを決めようとしている。	Talk about ideas with somebody to get an opinion.	誰かとアイデアについて話し、意見をもらいましょう。
dist1	Distinction I	191	bad influence		悪影響		The app contains a lot of videos that are deemed to be about influence on the youth.	このアプリには、青少年への影響に関すると思われる動画が多数含まれています。	I'm skipping today's class to hang out with Michelle. She's such a bad influence on me.	今日はミシェルと遊ぶために授業をさぼります。彼女は私にとても悪い影響を与えています。	Something or somebody that induces negative behavior.	否定的な行動を誘発する何かまたは誰か。
dist1	Distinction I	192	pushy		強引		Brian is being very pushy about asking me to work over the weekend.	ブライアンは私に週末仕事をするよう非常に強引に誘っています。	Stop being sub-pushy. I'll get it done when I have time.	サブ的な押し付けはやめてください。時間があるときにやります。	excessively aggressive in persistent.	執拗で過度に攻撃的。
dist1	Distinction I	193	steal		窃盗		$5 for lunch is a steal.	ランチの5ドルは破格だ。	I bought that T-shirt for $10. Don't you think it's a steal?	私はそのTシャツを10ドルで買いました。盗品だと思いませんか？	bargain	バーゲン
dist1	Distinction I	194	wrap sth up		話をまとめる		Can we wrap up this meeting pretty soon? We're already two hours over time.	この会議をすぐに終えてもいいですか？すでに2時間オーバーしている。	I think it's time to wrap up the third issue, as we've taken a few hundred photos already.	すでに数百枚の写真を撮ったので、第 3 号を終了する時期が来たと思います。	Finish something.	何かを終わらせる。
